lecture_number,lecture_title,original_pptx,slide_number,possible_slide_title,visible_text
5,Modern CNN,5  - Modern CNN.pptx,36,ResNet (2015): Making Depth Trainable,"shallow
8
layers
8
layers
19
layers
22
layers
152
layers
152
layers
152
layers
36
Deep Residual Learning for Image Recognition - Kaiming He, Xiangyu Zhang, Shaoqing Ren, Jian Sun; 2015
ResNet
(2015): Making Depth Trainable
152 layers (ImageNet)
Introduced residual learning
Solved degradation problem
Enabled very deep optimization
Depth was no longer limited by optimization."
5,Modern CNN,5  - Modern CNN.pptx,37,ResNet Architecture,"ResNet
Architecture
37
Architecture Pattern
Initial conv (7×7, stride 2)
Residual block stacks
Downsample
between stages
Global average pooling
Final FC layer
Scaling Depth
ResNet-18
ResNet-34
ResNet-50 (uses bottleneck blocks)
ResNet-101
ResNet-152"
5,Modern CNN,5  - Modern CNN.pptx,38,Why ResNet Works,"Why
ResNet
Works
Li et al. Visualizing the Loss Landscape of Neural Nets, NIPS 2018,
38
Skip connection provides direct gradient path
Mitigates vanishing gradients
Smooths loss landscape
Identity mapping is easy to learn
Enables 100+ layer training"
5,Modern CNN,5  - Modern CNN.pptx,39,ResNet’s Impact,"ResNet’s
Impact
Established residual connections as a core design principle
Inspired
DenseNet
,
EfficientNet
, Inception-
ResNet
Foundation of modern vision backbones
39"
5,Modern CNN,5  - Modern CNN.pptx,40,Summary of CNN Design Principles,"Summary of CNN Design Principles
40
Modern CNNs succeed by balancing representation power, optimization stability, and computational efficiency.
Representation
Optimization
Efficiency
Convolution exploits spatial locality
Residual connections enable deep training
Factorized convolutions reduce FLOPs
Depth builds hierarchical abstraction
BatchNorm
stabilizes gradients
Global Average Pooling removes heavy FC layers
Small filters improve expressive power
Identity mappings ease optimization
Compound scaling balances depth, width, resolution"
5,Modern CNN,5  - Modern CNN.pptx,41,Overview,"Overview
Part I: Foundations (LeNet →
AlexNet
)
Part II: Depth Hypothesis (VGG)
Part III: Optimization Crisis
Part IV: Residual Learning (
ResNet
)
Part V: The Efficiency and Scaling Era
41
CNN evolution = solving new constraints at each stage."
5,Modern CNN,5  - Modern CNN.pptx,42,CNN Design Evolution Pattern,"CNN Design Evolution Pattern
LeNet → Feature Learning
Introduced convolution, weight sharing, and end-to-end gradient learning
AlexNet
→ Scale
Demonstrated deep CNNs succeed with GPUs,
ReLU
, and large datasets
VGG → Depth
Showed stacking small filters and increasing layers improves representation
ResNet
→ Optimization
Enabled very deep networks using residual connections and stable gradients
Modern CNNs → Efficiency + Stability
Design for high accuracy per FLOP with scalable, hardware-aware architectures
42"
5,Modern CNN,5  - Modern CNN.pptx,43,Why Optimization Was Not the End,"Why Optimization Was Not the End
ResNet
made depth trainable.
But new constraints emerged:
Mobile devices
Real-time inference
Edge deployment
Energy limits
Memory bandwidth limits
New objective: Max Accuracy per FLOP
43
Modern CNN design = Representation + Optimization + Efficiency"
5,Modern CNN,5  - Modern CNN.pptx,44,Computation in Convolution,"Computation in Convolution
44
Parameter counts:
Total computation cost (FLOPs):
Key observation:
Channel mixing is expensive.
Large spatial kernels are expensive.
Fully connected layers were already removed (GAP).
Question:
Can we separate spatial filtering from channel mixing?
For a standard convolution:"
5,Modern CNN,5  - Modern CNN.pptx,45,The Problem: What Kernel Size Should We Use?,"The Problem: What Kernel Size Should We Use?
Before Inception:
Large kernel → large receptive field
Small kernel → lower cost
No clear answer
Observation:
Objects appear at multiple spatial scales.
Question:
Can we let the network choose the scale?
45"
5,Modern CNN,5  - Modern CNN.pptx,46,Inception: Multi-Scale Parallel Design,"Inception: Multi-Scale Parallel Design
Instead of choosing one kernel size:
Run multiple branches in parallel:
1×1
3×3
5×5
Pooling
Then concatenate outputs along channels.
Key insight:
Multi-scale feature extraction within a single layer.
This increases representational diversity without increasing depth.
46"
